nome,porcentagem_desconto,preço,tipo,plataforma,sistema
R$200 PlayStation Store - Cartão Presente Digital,0,"R$ 200,00",Padrão,console,playstation
Pro Cycling Manager 2022,0,"R$ 75,49",Padrão,pc,"steam,windows"
SWITCH ON - 3 Meses,0,"R$ 29,70",Padrão,console,nintendo
DRAGON BALL Z: KAKAROT,0,"R$ 159,90",Padrão,pc,"steam,windows"
Mortal Kombat X,0,"R$ 89,99",Padrão,pc,"steam,windows"
Rain World,0,"R$ 36,99",Padrão,pc,"steam,windows"
Secret Neighbor,0,"R$ 37,99",Padrão,pc,"steam,windows"
Sid Meier’s Civilization V: Brave New World,0,"R$ 44,99",DLC,pc,"steam,mac"
Gift Card Digital Roblox R$50,0,"R$ 50,00",Padrão,"pc,mobile","windows,ios,android"
LEGO Marvel Vingadores Deluxe Edition,0,"R$ 129,99",Padrão,pc,"steam,windows"
Castlevania: Lord of Shadows - Mirror of Fate HD,0,"R$ 27,99",Padrão,pc,"steam,windows"
Riot Points - Gift Card Digital 20 Reais,0,"R$ 20,00",Padrão,pc,"windows,mac"
Super Mario™ 3D World + Bowser’s Fury,0,"R$ 299,00",Padrão,console,nintendo
Moonlighter,0,"R$ 37,99",Padrão,pc,"steam,windows"
Google Play R$100 - Gift Card Digital,0,"R$ 100,00",Padrão,mobile,android
Mortal Kombat 11 Kombat Pack 1,0,"R$ 59,99",DLC,pc,"steam,windows"
LEGO DC Super-Villains - Deluxe Edition,0,"R$ 254,99",Padrão,pc,"steam,windows"
Xbox - Cartão Presente Digital 25 Reais,0,"R$ 25,00",Padrão,"pc,console","windows,xbox"
Xbox - Cartão Presente Digital 40 Reais,0,"R$ 40,00",Padrão,"pc,console","windows,xbox"
TEKKEN 7,0,"R$ 129,90",Padrão,pc,"steam,windows"
ULTIMATE MARVEL VS. CAPCOM 3,-70%,"R$ 16,49",Padrão,pc,"steam,windows"
F.E.A.R. 3,0,"R$ 89,99",Padrão,pc,"steam,windows"
Euro Truck Simulator 2 - Cabin Accessories,-75%,"R$ 2,87",DLC,pc,"steam,windows,linux"
Injustice 2 - Legendary Edition,0,"R$ 279,99",Padrão,pc,"steam,windows"
PC Building Simulator,0,"R$ 37,99",Padrão,pc,"steam,windows"
Ducktales Remastered,-75%,"R$ 7,49",Padrão,pc,"steam,windows"
Super Mombo Quest,0,"R$ 28,99",Padrão,pc,"steam,windows"
Dandy Ace,0,"R$ 29,99",Padrão,pc,"steam,windows,mac"
Tom Clancy's Ghost Recon - Wildlands,0,"R$ 149,99",Padrão,pc,windows
Tales of Zestiria,0,"R$ 90,99",Padrão,pc,"steam,windows"
Darksiders Blade & Whip Franchise Pack,0,"R$ 148,55",Padrão,pc,"steam,windows"
Euro Truck Simulator 2 - Wheel Tuning Pack,-75%,"R$ 1,62",DLC,pc,"steam,windows,linux,mac"
Star Wars - Dark Forces,0,"R$ 12,39",Padrão,pc,"steam,windows,mac"
Tom Clancy's Ghost Recon Breakpoint,0,"R$ 179,00",Padrão,pc,windows
Umbrella Corps: Deluxe Edition,-75%,"R$ 13,74",Padrão,pc,"steam,windows"
LEGO Batman 3: Beyond Gotham,0,"R$ 89,99",Padrão,pc,"steam,windows"
Blair Witch,0,"R$ 57,99",Padrão,pc,"steam,windows"
One Piece: Burning Blood,0,"R$ 129,99",Padrão,pc,"steam,windows"
Enigma do Medo - Bundle do Detetive,-10%,"R$ 85,00",Pré-Venda,pc,"steam,windows"
Little Nightmares II,0,"R$ 159,49",Padrão,pc,"steam,windows"
DwarfHeim,0,"R$ 47,49",Padrão,pc,"steam,windows"
RUSH: A Disney - PIXAR Adventure,0,"R$ 37,99",Padrão,pc,"steam,windows"
Complete Cossacks 3 Experience,-54%,"R$ 32,54",Padrão,pc,"steam,windows,linux"
Titan Souls Collector's Edition,0,"R$ 34,99",Padrão,pc,"steam,windows,mac"
Super Mario Odyssey™,0,"R$ 299,00",Padrão,console,nintendo
Xbox - Cartão Presente Digital 60 Reais,0,"R$ 60,00",Padrão,"pc,console","windows,xbox"
Ravenswatch,0,"R$ 59,99",Padrão,pc,"steam,windows"
Broforce,0,"R$ 24,99",Padrão,pc,"steam,windows,mac"
Star Wars: The Force Unleashed II,0,"R$ 37,99",Padrão,pc,"steam,windows"
DRAGON BALL Z: KAKAROT - Deluxe Edition,0,"R$ 249,90",Padrão,pc,"steam,windows"
Euro Truck Simulator 2 - Brazilian Paint Jobs Pack,-71%,"R$ 0,72",DLC,pc,"steam,windows,linux"
RollerCoaster Tycoon 3: Complete Edition,0,"R$ 37,99",Padrão,pc,"steam,windows"
Devil May Cry 3 - Special Edition,-75%,"R$ 9,99",Padrão,pc,"steam,windows"
Gift Card Digital Roblox R$100,0,"R$ 100,00",Padrão,"pc,mobile","windows,ios,android"
Far Cry 6,0,"R$ 249,99",Padrão,pc,windows
Tales of Vesperia: Definitive Edition,0,"R$ 139,90",Padrão,pc,"steam,windows"
Monster Hunter World: Iceborne Master Edition,-51%,"R$ 62,99",Padrão,pc,"steam,windows"
Enigma do Medo,-9%,"R$ 49,99",Pré-Venda,pc,"steam,windows"
Xbox - Cartão Presente Digital 20 Reais,0,"R$ 20,00",Padrão,"pc,console","windows,xbox"
LEGO Batman,0,"R$ 89,99",Padrão,pc,"steam,windows"
Mega Man X Legacy Collection 2,-60%,"R$ 15,99",Padrão,pc,"steam,windows"
ENSLAVED: Odyssey to the West Premium Edition,0,"R$ 34,99",Padrão,pc,"steam,windows"
Naruto Shippuden: Ultimate Ninja Storm 4 - Season Pass,0,"R$ 49,90",DLC,pc,"steam,windows"
Call of Juarez 2: Bound in Blood,0,"R$ 19,99",Padrão,pc,"steam,windows"
The Last Campfire,0,"R$ 28,99",Padrão,pc,"steam,windows"
LEGO Batman 2: DC Super Heroes,0,"R$ 89,99",Padrão,pc,"steam,windows"
Batman Arkham Collection,0,"R$ 279,99",Padrão,pc,"steam,windows"
Ni no Kuni II: Revenant Kingdom - Season Pass,0,"R$ 59,90",DLC,pc,"steam,windows"
Star Wars - The Force Unleashed Ultimate Sith Edition,0,"R$ 37,99",Padrão,pc,"steam,windows"
Assassin's Creed Valhalla,0,"R$ 199,99",Padrão,pc,windows
Castlevania: Lords of Shadow 2 - Revelations,0,"R$ 15,99",DLC,pc,"steam,windows"
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,0,"R$ 217,99",Padrão,pc,"steam,windows"
Shovel Knight Pocket Dungeon,0,"R$ 37,99",Padrão,pc,"steam,windows,mac"
Euro Truck Simulator 2 - Italia,-75%,"R$ 11,24",DLC,pc,"steam,windows,linux,mac"
Titan Souls,0,"R$ 24,99",Padrão,pc,"steam,windows,mac"
Destiny 2: Lightfall,-39%,"R$ 90,44",DLC,pc,"steam,windows"
DRAGON BALL FighterZ - FighterZ Edition,0,"R$ 239,90",Padrão,pc,"steam,windows"
Metal Gear Rising - Revengeance,0,"R$ 49,99",Padrão,pc,"steam,windows"
Xbox - Cartão Presente Digital 70 Reais,0,"R$ 70,00",Padrão,"pc,console","windows,xbox"
Xbox - Cartão Presente Digital 15 Reais,0,"R$ 15,00",Padrão,"pc,console","windows,xbox"
Warhammer: Chaosbane - Slayer Edition,0,"R$ 75,49",Padrão,pc,"steam,windows"
Sid Meier’s Civilization VI - Platinum Edition,0,"R$ 161,20",Padrão,pc,"steam,windows"
Mega Man Legacy Collection,-60%,"R$ 11,99",Padrão,pc,"steam,windows"
Graveyard Keeper,0,"R$ 37,99",Padrão,pc,"steam,windows,linux,mac"
Star Wars: Knights of the Old Republic II - The Sith Lords,0,"R$ 19,99",Padrão,pc,"steam,windows,linux,mac"
Far Cry 4,0,"R$ 89,99",Padrão,pc,windows
Euro Truck Simulator 2 - Road to the Black Sea,-60%,"R$ 17,99",DLC,pc,"steam,windows,linux"
Castlevania: Lords of Shadow 2 - Dark Dracula Costume,0,"R$ 2,19",DLC,pc,"steam,windows"
LEGO BATMAN 3: Beyond Gotham - Premium Edition,0,"R$ 159,99",Padrão,pc,"steam,windows"
Kingdom Come: Deliverance - Royal Edition,-75%,"R$ 17,49",Padrão,pc,"steam,windows"
DREDGE,0,"R$ 89,99",Padrão,pc,"steam,windows"
Gato Roboto,0,"R$ 16,59",Padrão,pc,"steam,windows"
Mortal Kombat 11 Kombat Pack 2,0,"R$ 59,99",DLC,pc,"steam,windows"
Euro Truck Simulator 2 - Beyond the Baltic Sea,-60%,"R$ 17,99",DLC,pc,"steam,windows,linux,mac"
New Super Mario Bros.™ U Deluxe,0,"R$ 299,00",Padrão,console,nintendo
Euro Truck Simulator 2 - High Power Cargo Pack,-75%,"R$ 2,62",DLC,pc,"steam,windows,linux"
Darksiders Warmastered Edition,0,"R$ 34,99",Padrão,pc,"steam,windows"
Captain Tsubasa: Rise of New Champions,0,"R$ 179,90",Padrão,pc,"steam,windows"
The Legend of Zelda™: Breath of the Wild,0,"R$ 299,00",Padrão,console,nintendo
The Walking Dead: Season Two,-75%,"R$ 7,24",Padrão,pc,"steam,windows,mac"
The LEGO Movie - Videogame,0,"R$ 89,99",Padrão,pc,"steam,windows"
ONE PIECE: PIRATE WARRIORS 4 - Deluxe Edition,0,"R$ 239,90",Padrão,pc,"steam,windows"
Destiny 2: Lightfall + Annual Pass,-32%,"R$ 202,49",DLC,pc,"steam,windows"
Mario Kart™ 8 Deluxe - Booster Course Pass,0,"R$ 128,00",Padrão,console,nintendo
RiMS Racing,0,"R$ 109,99",Padrão,pc,"steam,windows"
Horizon Chase Turbo,-80%,"R$ 9,99",Padrão,pc,"steam,windows"
Urban Trial Freestyle,0,"R$ 13,99",Padrão,pc,"steam,windows"
This War of Mine,-80%,"R$ 7,39",Padrão,pc,"steam,windows,linux,mac"
Dead Rising 3 - Apocalypse Edition,-70%,"R$ 25,49",Padrão,pc,"steam,windows"
Destiny 2: Legacy Collection,-50%,"R$ 74,99",Padrão,pc,"steam,windows"
Monster Hunter World: Iceborne Master Edition Deluxe,-51%,"R$ 72,99",Padrão,pc,"steam,windows"
Marvel vs. Capcom: Infinite Deluxe,-80%,"R$ 25,99",Padrão,pc,"steam,windows"
NBA 2K23,-78%,"R$ 65,97",Padrão,pc,"steam,windows"
The LEGO Movie 2 Videogame,0,"R$ 129,99",Padrão,pc,"steam,windows"
Remember Me,-80%,"R$ 9,99",Padrão,pc,"steam,windows"
Batman: Arkham Origins - Season Pass,0,"R$ 36,99",DLC,pc,"steam,windows"
Sid Meier’s Civilization VI Anthology,0,"R$ 230,99",Padrão,pc,"steam,windows,linux,mac"
Mortal Kombat X - Premium Edition,0,"R$ 168,99",Padrão,pc,"steam,windows"
Destiny 2: Bungie 30th Anniversary Pack,-60%,"R$ 29,99",DLC,pc,"steam,windows"
Ni no Kuni Wrath of the White Witch Remastered,0,"R$ 129,99",Padrão,pc,"steam,windows"
Digimon Story Cyber Sleuth: Complete Edition,0,"R$ 129,99",Padrão,pc,"steam,windows"
Darksiders Genesis,0,"R$ 57,99",Padrão,pc,"steam,windows"
Assassin's Creed: Odyssey,0,"R$ 179,99",Padrão,pc,windows
LEGO Marvel Super Heroes 2 - Season Pass,0,"R$ 29,90",DLC,pc,"steam,windows"
The Last of Us - Part I - Digital Deluxe Edition,-10%,"R$ 268,90",Padrão,pc,"steam,windows"
Far Cry Primal: Digital Apex Edition,0,"R$ 104,99",Padrão,pc,windows
Batman: Arkham Knight - Premium Edition,0,"R$ 179,99",Padrão,pc,"steam,windows"
Children of Morta,-70%,"R$ 14,24",Padrão,pc,"steam,windows,mac"
American Truck Simulator: Enchanted Edition,-75%,"R$ 28,81",Padrão,pc,"steam,windows,linux,mac"
LEGO Indiana Jones 2: The Adventure Continues,-75%,"R$ 9,49",Padrão,pc,"steam,windows"
Human: Fall Flat,0,"R$ 37,99",Padrão,pc,"steam,windows,linux,mac"
Call of Duty: Black Ops (Apenas p/ MAC),-50%,"R$ 35,99",Padrão,pc,"steam,mac"
Monster Hunter Rise: Sunbreak,-29%,"R$ 119,99",DLC,pc,"steam,windows"
Dragon Ball Xenoverse 2 - Super Pass,0,"R$ 100,00",DLC,pc,"steam,windows"
The Walking Dead: A New Frontier,-75%,"R$ 7,24",Padrão,pc,"steam,windows"
The Messenger,0,"R$ 37,99",Padrão,pc,"steam,windows"
RUINER,0,"R$ 36,99",Padrão,pc,"steam,windows"
Mortal Kombat X - Kombat Pack 2,0,"R$ 34,90",DLC,pc,"steam,windows"
TEKKEN 7 - Definitive Edition,0,"R$ 529,59",Padrão,pc,"steam,windows"
Wizard of Legend,-70%,"R$ 9,29",Padrão,pc,"steam,windows,linux,mac"
Jurassic World Evolution 2 - Deluxe Edition,0,"R$ 127,99",Padrão,pc,"steam,windows"
Far Cry 3,0,"R$ 59,99",Padrão,pc,windows
Far Cry 6 - Gold Edition,0,"R$ 349,99",Padrão,pc,windows
Far Cry 6 - Game of the Year Edition,0,"R$ 399,99",Padrão,pc,windows
ONE PUNCH MAN: A HERO NOBODY KNOWS - DELUXE EDITION,0,"R$ 229,90",Padrão,pc,"steam,windows"
ONE PIECE WORLD SEEKER - Deluxe Edition,0,"R$ 349,90",Padrão,pc,"steam,windows"
Distortions,0,"R$ 9,99",Padrão,pc,"steam,windows"
Euro Truck Simulator 2 - Schwarzmüller Trailer Pack,-65%,"R$ 2,20",DLC,pc,"steam,windows,linux,mac"
Middle-earth Shadow of Mordor - GOTY Edition Upgrade,0,"R$ 19,99",DLC,pc,"steam,windows"
World War Z: Aftermath - Deluxe Edition,0,"R$ 94,49",Padrão,pc,"steam,windows"
5.500 Avacoins - Avakin Life,0,"R$ 10,79",Padrão,mobile,"ios,android"
Castlevania Anniversary Collection,0,"R$ 119,00",Padrão,pc,"steam,windows"
Pure Farming 2018 - Deluxe Edition,0,"R$ 39,90",Padrão,pc,"steam,windows"
CODE VEIN,0,"R$ 149,99",Padrão,pc,"steam,windows"
Don't Starve Together: Starter Pack 2023,0,"R$ 16,59",DLC,pc,"steam,windows,linux,mac"
Assassin's Creed Valhalla - Complete Edition,0,"R$ 499,99",Padrão,pc,windows
Back 4 Blood Ultimate,0,"R$ 459,99",Padrão,pc,"steam,windows"
One Piece Pirate Warriors 3 - Gold Edition,0,"R$ 103,98",Padrão,pc,"steam,windows"
MY HERO ONE'S JUSTICE 2,0,"R$ 159,90",Padrão,pc,"steam,windows"
Resident Evil 7 biohazard,-62%,"R$ 25,99",Padrão,pc,"steam,windows"
Dragon Ball Xenoverse,0,"R$ 79,99",Padrão,pc,"steam,windows"
Destiny 2: Pacote de Renegados,-60%,"R$ 15,19",DLC,pc,"steam,windows"
theHunter: Call of the Wild,0,"R$ 37,99",Padrão,pc,"steam,windows"
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,0,"R$ 219,90",Padrão,pc,"steam,windows"
Hogwarts Legacy,0,"R$ 249,99",Padrão,pc,"steam,windows"
LEGO Star Wars: The Force Awakens - Deluxe Edition,0,"R$ 129,99",Pacote,pc,"steam,windows"
Wolcen: Lords of Mayhem,0,"R$ 75,49",Padrão,pc,"steam,windows"
LEGO Star Wars - The Complete Saga,0,"R$ 37,99",Padrão,pc,"steam,windows"
Middle-earth: Shadow of War - The Blade of Galadriel Story Expansion,0,"R$ 44,99",DLC,pc,"steam,windows"
