,nome,porcentagem_desconto,preco,tipo,plataforma,sistema
262,super mario odyssey,0,299.0,padrao,console,nintendo
263,tekken 7,0,129.9,padrao,pc,"steam,windows"
264,resident evil village gold edition,0,169.9,padrao,pc,"steam,windows"
265,bagdex  standard,0,35.0,prevenda,pc,windows
266,lego city undercover,90,8.99,padrao,pc,"steam,windows"
267,lego the lord of the rings,0,89.99,padrao,pc,"steam,windows"
268,the universim,0,55.99,padrao,pc,"steam,windows,linux,mac"
269,starship troopers  terran command,0,57.99,padrao,pc,"steam,windows"
270,dont starve together,0,27.99,padrao,pc,"steam,windows,linux,mac"
271,resident evil 6,0,84.99,padrao,pc,"steam,windows"
272,trail out,0,37.99,padrao,pc,"steam,windows"
273,resident evil village  winters expansion,0,66.9,dlc,pc,"steam,windows"
274,monster hunter world iceborne master edition,0,129.99,padrao,pc,"steam,windows"
275,subnautica below zero,40,34.79,padrao,pc,"steam,windows,mac"
276,cult of the lamb,0,64.95,padrao,pc,"steam,windows,mac"
277,xbox  cartao presente digital 25 reais,0,25.0,padrao,"pc,console","windows,xbox"
278,for the king double keys,0,75.98,padrao,pc,"steam,windows,mac"
279,google play r$30  gift card digital,0,30.0,padrao,mobile,android
280,mortal kombat x  kombat pack,85,3.73,dlc,pc,"steam,windows"
281,5.500 avacoins  avakin life,0,10.79,padrao,mobile,"ios,android"
282,star wars  the force unleashed ultimate sith edition,0,37.99,padrao,pc,"steam,windows"
283,assassins creed valhalla,0,199.99,padrao,pc,windows
284,ni no kuni wrath of the white witch remastered,80,25.99,padrao,pc,"steam,windows"
285,the lego movie 2 videogame,94,6.5,padrao,pc,"steam,windows"
286,super smash bros. ultimate,0,299.0,padrao,console,nintendo
287,ys origin,0,36.99,padrao,pc,"steam,windows"
288,lego batman 3 beyond gotham season pass,90,2.79,dlc,pc,"steam,windows"
289,far cry 4,0,89.99,padrao,pc,windows
290,hogwarts legacy,0,249.99,padrao,pc,"steam,windows"
291,moonlighter  between dimensions,80,2.89,dlc,pc,"steam,windows"
292,dwarfheim,0,47.49,padrao,pc,"steam,windows"
293,rush a disney  pixar adventure,0,37.99,padrao,pc,"steam,windows"
294,spongebob squarepants battle for bikini bottom  rehydrated,0,69.95,padrao,pc,"steam,windows"
295,phoenix wright ace attorney trilogy,0,69.99,padrao,pc,"steam,windows"
296,one punch man a hero nobody knows  deluxe edition,0,229.9,padrao,pc,"steam,windows"
297,one piece world seeker  deluxe edition,0,349.9,padrao,pc,"steam,windows"
298,ridge racer unbounded,0,19.98,padrao,pc,"steam,windows"
299,arma 3 marksmen,0,17.99,dlc,pc,"steam,windows"
300,monster hunter rise sunbreak,0,169.9,dlc,pc,"steam,windows"
301,batman arkham city  game of the year edition,80,17.99,padrao,pc,"steam,windows"
302,arma 3 jets,0,17.99,dlc,pc,"steam,windows"
303,tom clancys ghost recon breakpoint  ultimate edition,0,359.99,padrao,pc,windows
304,thehunter call of the wild  atv saber 4x4,0,8.39,dlc,pc,"steam,windows"
305,thehunter call of the wild  bloodhound,0,8.39,dlc,pc,"steam,windows"
306,american truck simulator  new mexico,0,31.99,dlc,pc,"steam,windows,linux,mac"
307,street fighter 6  deluxe edition,10,324.99,prevenda,pc,"steam,windows"
308,rain world downpour,0,46.99,dlc,pc,"steam,windows"
309,arma 3 tanks,0,17.99,dlc,pc,"steam,windows"
310,dungeons  dragons chronicles of mystara,0,24.99,padrao,pc,"steam,windows"
311,pacote black arkham nights,85,67.49,pacote,pc,"steam,windows"
312,batman arkham knight season pass,80,13.99,dlc,pc,"steam,windows"
313,batman  the telltale series,50,14.49,padrao,pc,"steam,windows"
314,planet coaster,0,81.99,padrao,pc,"steam,windows"
315,alan wake,0,28.99,padrao,pc,"steam,windows"
316,enigma do medo,9,49.99,prevenda,pc,"steam,windows"
317,complete cossacks 3 experience,0,72.31,padrao,pc,"steam,windows,linux"
318,scribblenauts unmasked a dc comics adventures,90,3.69,padrao,pc,"steam,windows"
319,xbox  cartao presente digital 5 reais,0,5.0,padrao,"pc,console","windows,xbox"
320,lego marvel super heroes 2 deluxe edition,94,8.0,padrao,pc,"steam,windows"
321,r$200 playstation store  cartao presente digital,0,200.0,padrao,console,playstation
322,minecraft java and bedrock edition,0,129.0,padrao,pc,"windows,linux,mac"
323,google play r$100  gift card digital,0,100.0,padrao,mobile,android
324,nintendo  gift card digital 250 reais,0,250.0,padrao,console,nintendo
325,katana zero,0,28.99,padrao,pc,"steam,windows,mac"
326,xbox  cartao presente digital 20 reais,0,20.0,padrao,"pc,console","windows,xbox"
327,sword art online hollow realization deluxe edition,0,90.99,padrao,pc,"steam,windows"
328,rollercoaster tycoon 3 complete edition,0,37.99,padrao,pc,"steam,windows"
329,euro truck simulator 2  special transport,0,12.19,dlc,pc,"steam,windows,linux"
330,mario kart 8 deluxe,0,299.0,padrao,console,nintendo
331,crunchyroll fan  1 mes,0,14.99,padrao,"pc,mobile","linux,mac,ios,android"
332,resident evil revelations 2 deluxe edition,0,74.99,padrao,pc,"steam,windows"
333,wildfrost,0,59.99,padrao,pc,"steam,windows"
334,one piece pirate warriors 4  deluxe edition,0,239.9,padrao,pc,"steam,windows"
335,mario kart 8 deluxe  booster course pass,0,128.0,padrao,console,nintendo
336,mortal kombat 11 kombat pack 2,75,14.99,dlc,pc,"steam,windows"
337,castlevania lords of shadow 2  revelations,0,15.99,dlc,pc,"steam,windows"
338,middleearth shadow of mordor  goty edition upgrade,75,4.99,dlc,pc,"steam,windows"
339,injustice 2  legendary edition,85,41.99,padrao,pc,"steam,windows"
340,euro truck simulator 2  force of nature paint jobs pack,0,4.49,dlc,pc,"steam,windows,linux"
341,pokemon violet,0,299.0,padrao,console,nintendo
342,castlevania lords of shadow 2  dark dracula costume,0,2.19,dlc,pc,"steam,windows"
343,batman arkham origins  season pass,80,7.39,dlc,pc,"steam,windows"
344,ace combat 7 skies unknown  top gun maverick edition,0,219.9,padrao,pc,"steam,windows"
345,back 4 blood,80,55.99,padrao,pc,"steam,windows"
346,remember me,0,49.99,padrao,pc,"steam,windows"
347,euro truck simulator 2  schwarzmüller trailer pack,0,6.29,dlc,pc,"steam,windows,linux,mac"
348,naruto shippuden ultimate ninja storm trilogy,0,160.59,pacote,pc,"steam,windows"
349,dragon ball fighterz  fighterz pass 2,0,99.9,dlc,pc,"steam,windows"
350,dont starve together starter pack 2023,0,16.59,dlc,pc,"steam,windows,linux,mac"
